Plot_code;Region;Latitude;Longitude;AGB;WP; WL;?;Contributors
AGJ-01;W;-11,9;-71,3;136,08;2,06;1,9;2,21;John Terborgh
AGP-01;W;-3,7;-70,3;127,04;3,55;2,7;1,28;"Oliver Phillips; Agustin Rudas; Alvaro Cogollo; Esteban Alvarez; Adriana Prieto"
AGP-02;W;-3,7;-70,3;128,79;4,34;6,16;4,75;"Oliver Phillips; Agustin Rudas; Alvaro Cogollo; Esteban Alvarez; Adriana Prieto"
ALF-01;BrSh;-9,6;-55,9;97,25;1,79;0,96;1,29;"Ted Feldpausch; Beatriz Marimon; Ben Hur Marimon; Jon Lloyd"
ALM-01;W;-11,8;-71,5;125,6;2,97;2,91;1,82;"John Terborgh; Roel Brienen"
ALP-10;W;-3,9;-73,4;142,94;3,42;2,95;2,89;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
ALP-11;W;-3,9;-73,4;130,51;3,42;2,95;2,89;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
ALP-20;W;-3,9;-73,4;115,66;3,38;3,75;2,2;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
ALP-21;W;-3,9;-73,4;130,82;3,38;3,75;2,2;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
ALP-30;W;-3,9;-73,4;111,16;2,52;2,9;1,57;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
ALP-40;W;-3,9;-73,4;106,32;3,74;1,06;1,47;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
BAC-01;W;7,5;-71;107,45;3,27;1,91;3,24;Emilio Vilanova Torre
BAC-02;W;7,5;-71;94,96;2,39;0,51;3,92;Emilio Vilanova Torre
BAC-03;W;7,5;-71;197,31;2,9;0,63;2,49;Emilio Vilanova Torre
BAC-04;W;7,5;-71;151,18;2,61;0,63;2,29;"Emilio Vilanova Torre; Oliver Phillips"
BAC-05;W;7,5;-71;57,09;2,25;1,97;4,26;Emilio Vilanova Torre
BAC-06;W;7,5;-71;129,16;3,24;3,1;2,58;"Emilio Vilanova Torre; Hirma Ramirez-Angulo; Armando Torres ; Geertje van der Heijden"
BAR-01;W;-11,9;-71,4;167,28;4;1,8;1,51;John Terborgh
BDF-01;EC;-2,3;-60,1;172,58;2,27;1,84;1,09;"William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy"
BDF-03;EC;-2,4;-59,8;160,11;3;2,74;1,47;"William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy"
BDF-04;EC;-2,4;-59,8;148,84;2,45;2,45;2,15;"William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy"
BDF-05;EC;-2,4;-59,8;133,94;1,86;1,28;1,4;"William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy"
BDF-06;EC;-2,4;-59,9;141,88;2,97;2,43;1,58;"William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy"
BDF-07;EC;-2,4;-59,9;163,66;2,45;1,71;1,19;"William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy"
BDF-08;EC;-2,4;-59,9;157,74;2,07;2,33;1,53;"William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy"
BDF-09;EC;-2,4;-59,9;179,65;2,53;1,92;1,22;"William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy"
BDF-10;EC;-2,4;-59,9;147,97;2,04;1,68;1,25;"William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy"
BDF-11;EC;-2,4;-59,9;174,16;1,93;1,51;1,11;"William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy"
BDF-12;EC;-2,4;-59,9;202,89;2,24;3,58;1,53;"William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy"
BDF-13;EC;-2,4;-59,9;166,76;2,4;2,13;1,18;"William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy"
BDF-14;EC;-2,4;-60;173,06;1,99;1,77;0,74;"William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy"
