"site","source","idPlot","longitude","latitude","plotArea","yearLogging","omegaTot","omegaLoc","aGLoc","vclimaxLoc","stem_mortLoc"
"Chico Bocão","TmFO","chb_1",-68.10021163,-9.442778,7,2001,0.619993921473381,0.122119492004085,5.25700149023605,172.167069622299,0.0251087072844968
"Cumaru","TmFO","cum_1",-68.08659715,-9.389858,7,2002,0.694787206389119,0.135672126515099,5.25700149023605,172.167069622299,0.0251087072844968
"Ecosilva","TmFO","eco_2",-48.683,-3.567,18,2004,0.721334212816042,0.293939139861333,5.16563367996894,187.167204998373,0.0159601741119495
"INPA","TmFO","inp_1I",-62,-16.2,20.7,2002,0.813949049595374,0.755769940034695,5.54737216012112,131.717038023097,0.0301448300123962
"INPA","TmFO","inp_1M",-62,-16.2,22.91,2002,0.813949049595374,0.755769940034695,5.54737216012112,131.717038023097,0.0301448300123962
"INPA","TmFO","inp_1N",-62,-16.2,21.52,2002,0.813949049595374,0.755769940034695,5.54737216012112,131.717038023097,0.0301448300123962
"INPA","TmFO","inp_1T",-62,-16.2,21.4,NA,0.813949049595374,0.755769940034695,5.54737216012112,131.717038023097,0.0301448300123962
"INPA","TmFO","inp_2I",-62,-16.2,20.32,2003,0.813949049595374,0.755769940034695,5.54737216012112,131.717038023097,0.0301448300123962
"INPA","TmFO","inp_2M",-62,-16.2,20.34,2003,0.813949049595374,0.755769940034695,5.54737216012112,131.717038023097,0.0301448300123962
"INPA","TmFO","inp_2N",-62,-16.2,22.33,2003,0.813949049595374,0.755769940034695,5.54737216012112,131.717038023097,0.0301448300123962
"INPA","TmFO","inp_2T",-62,-16.2,20.52,NA,0.813949049595374,0.755769940034695,5.54737216012112,131.717038023097,0.0301448300123962
"Iracema","TmFO","ira_1",-66.69221782,-9.641435,30,2002,0.586435251209382,0.172413349526423,5.07653692426395,169.360607307918,0.0231166210584708
"Itacoatiara","TmFO","ita_2B",-58.75,-2.917,13,1996,0.748262403233983,0.319192124328287,5.37409927701234,187.871680691855,0.0139172661416995
"Itacoatiara","TmFO","ita_2C",-58.75,-2.917,13,1997,0.748262403233983,0.319192124328287,5.37409927701234,187.871680691855,0.0139172661416995
"Itacoatiara","TmFO","ita_2D",-58.75,-2.917,14,1998,0.748262403233983,0.319192124328287,5.37409927701234,187.871680691855,0.0139172661416995
"Jari","TmFO","jar_0",-52.333,-0.917,4,NA,0.721340107012353,0.435532099005182,5.04824494646515,176.950643426332,0.0140465222274429
"Jari","TmFO","jar_1",-52.333,-0.917,12,1984,0.721340107012353,0.435532099005182,5.04824494646515,176.950643426332,0.0140465222274429
"Jari","TmFO","jar_3",-52.333,-0.917,24,1984,0.721340107012353,0.435532099005182,5.04824494646515,176.950643426332,0.0140465222274429
"Jenaro Herrera","TmFO","jen_1",-73.733,-4.917,9,1993,0.704237857933198,0.09603226317737,4.90328919959301,202.973934271226,0.0221391295315503
"La Chonta","TmFO","lch_1I",-62.55,-15.47,26.3,2001,0.951201527290281,0.782920203603254,5.9081508745117,134.680959525632,0.0297114063381996
"La Chonta","TmFO","lch_1M",-62.55,-15.47,27.16,2001,0.951201527290281,0.782920203603254,5.9081508745117,134.680959525632,0.0297114063381996
"La Chonta","TmFO","lch_1N",-62.55,-15.47,26.31,2001,0.951201527290281,0.782920203603254,5.9081508745117,134.680959525632,0.0297114063381996
"La Chonta","TmFO","lch_1T",-62.55,-15.47,25.83,NA,0.951201527290281,0.782920203603254,5.9081508745117,134.680959525632,0.0297114063381996
